Node,TAZ12,County,Region,TAZCentroid
860,860,Solano,MTC,1
861,861,Solano,MTC,1
862,862,Solano,MTC,1
863,863,Solano,MTC,1
864,864,Solano,MTC,1
865,865,Solano,MTC,1
866,866,Solano,MTC,1
867,867,Solano,MTC,1
868,868,Solano,MTC,1
869,869,Solano,MTC,1
870,870,Solano,MTC,1
871,871,Solano,MTC,1
872,872,Solano,MTC,1
873,873,Solano,MTC,1
874,874,Solano,MTC,1
875,875,Solano,MTC,1
876,876,Solano,MTC,1
877,877,Solano,MTC,1
878,878,Solano,MTC,1
879,879,Solano,MTC,1
880,880,Solano,MTC,1
881,881,Solano,MTC,1
882,882,Solano,MTC,1
883,883,Solano,MTC,1
884,884,Solano,MTC,1
885,885,Solano,MTC,1
886,886,Sonoma,MTC,1
887,887,Sonoma,MTC,1
888,888,Sonoma,MTC,1
889,889,Sonoma,MTC,1
890,890,Sonoma,MTC,1
891,891,Sonoma,MTC,1
892,892,Sonoma,MTC,1
893,893,Sonoma,MTC,1
894,894,Sonoma,MTC,1
895,895,Sonoma,MTC,1
896,896,Sonoma,MTC,1
897,897,Sonoma,MTC,1
898,898,Solano,MTC,1
899,899,Sonoma,MTC,1
900,900,Marin,MTC,1
901,901,Marin,MTC,1
902,902,Marin,MTC,1
903,903,Marin,MTC,1
904,904,Marin,MTC,1
905,905,Marin,MTC,1
906,906,Marin,MTC,1
907,907,Marin,MTC,1
908,908,Marin,MTC,1
909,909,Marin,MTC,1
910,910,Marin,MTC,1
911,911,Marin,MTC,1
912,912,Marin,MTC,1
913,913,Marin,MTC,1
914,914,Marin,MTC,1
915,915,Marin,MTC,1
916,916,Marin,MTC,1
917,917,Marin,MTC,1
918,918,Marin,MTC,1
919,919,Marin,MTC,1
920,920,Marin,MTC,1
921,921,Marin,MTC,1
922,922,Marin,MTC,1
923,923,Marin,MTC,1
924,924,Marin,MTC,1
925,925,Marin,MTC,1
926,926,Marin,MTC,1
927,927,Marin,MTC,1
928,928,Marin,MTC,1
929,929,Marin,MTC,1
930,930,Marin,MTC,1
931,931,Marin,MTC,1
932,932,Marin,MTC,1
933,933,Marin,MTC,1
934,934,Marin,MTC,1
935,935,Marin,MTC,1
936,936,Marin,MTC,1
937,937,Sonoma,MTC,1
938,938,Sonoma,MTC,1
939,939,Sonoma,MTC,1
940,940,Sonoma,MTC,1
941,941,Sonoma,MTC,1
942,942,Sonoma,MTC,1
943,943,Sonoma,MTC,1
